title,artist,link
Couple Drinking Tea (01 MAY 1961),John C Mark Jones,___/record/99259?highlight=*:*
Poirtrait of a Man (possibly),Anthony Sinclair,___/record/21440?highlight=*:*
Unknown (1960),Robin E. Bownass,___/record/50604?highlight=*:*
Untitled (1966),Jean Selby,___/record/22478?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,___/record/20701?highlight=*:*
Plate (1920s),Emma Gillies,___/record/53705?highlight=*:*
Seated Female Nude (1953),Rosemary Schofield,___/record/20942?highlight=*:*
Landscape,Edith C. Duke,___/record/122871?highlight=*:*
Unknown (1957),Rupert F C Cracknell,___/record/50538?highlight=*:*
Still Life with Honesty (1962),L. Johns,___/record/122906?highlight=*:*
Reclining Female Nude (1953),Iain West,___/record/20783?highlight=*:*
Portrait Figure Sitting (1952),D. Gordon Campbell,___/record/22508?highlight=*:*
Untitled (Unknown),Unknown,___/record/99945?highlight=*:*
Self Portrait at Table (Circa 1975),Janis A. Dougall,___/record/122882?highlight=*:*
Riders from the North Frieze of the Parthenon (1836-1837),NA,___/record/20709?highlight=*:*
Still Life with Window (1957),Alan M. Alexander,___/record/122817?highlight=*:*
Still Life with Stuffed Pheasant and Skull (Circa 1966),George M. Donald,___/record/122859?highlight=*:*
Black Rock (1983),Wendy McMurdo,___/record/21592?highlight=*:*
Unknown,Unknown,___/record/50382?highlight=*:*
Untitled (Circa 1960),Robert L Snowden,___/record/21537?highlight=*:*
Unknown (1964),Ian Patterson,___/record/53582?highlight=*:*
Charioteer facing right,NA,___/record/20660?highlight=*:*
Portrait of a Woman in a Green-Checked Blouse (1952),Annette G B Ronald,___/record/22698?highlight=*:*
Part Piece,Christopher Nugent,___/record/122752?highlight=*:*
Red Abstract Landscape (1972),Barbara C. Mackie,___/record/122748?highlight=*:*
Head of a Woman Wearing Beads (1952),Frances Walker,___/record/20846?highlight=*:*
Seated Male Nude (1953),Ian Short,___/record/20941?highlight=*:*
Untitled - Still Life with Flowers and Pitchers (1963),Helen Wishart,___/record/99452?highlight=*:*
The Misadventure (1989),John Brown,___/record/99468?highlight=*:*
Sweden - boats tied up at quayside (1963),Ann F Ward,___/record/99348?highlight=*:*
Male Portrait (1969),Elizabeth E. Eastmond,___/record/22690?highlight=*:*
Drawing of a Woman (12 NOV 1960),Sheila Percival,___/record/20991?highlight=*:*
East Frieze of the Parthenon Frieze (1836-1837),NA,___/record/20687?highlight=*:*
Sitting Nude Woman (1961),Ann F Ward,___/record/122888?highlight=*:*
William Shakespeare Otelo (1983),Boris Bućan,___/record/22040?highlight=*:*
Untitled,A. Parkinson,___/record/112501?highlight=*:*
Portrait of Sister (1958),Frances M. Walker,___/record/22680?highlight=*:*
Valley Landscape (Circa 1950),Marion M Cooper,___/record/21389?highlight=*:*
